Verse Exchange:USDC/WETH,0x6e1fbeeaba87bae1100d95f8340dc27ad7c8427b,USDC/WETH,USDC,6,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
SwipeSwap LP Token:WETH/USDT,0x6e7ae922140efed0c7dbc9066b50b9f933fd755a,WETH/USDT,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,USDT,6,0xdac17f958d2ee523a2206206994597c13d831ec7
KyberDMM LP WETH-USDT,0xce9874c42dce7fffbe5e48b026ff1182733266cb,WETH/USDT,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,USDT,6,0xdac17f958d2ee523a2206206994597c13d831ec7
UniswapV3 LP,0x34b8487fc2912c486b04d1436b07f19f7730cd43,WETH/POLK,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,POLK,18,0xd478161c952357f05f0292b56012cd8457f1cfbf
ShibaSwap LP Token,0x42bf7367d96afeeecdb6209c8a6573ce6d55b511,WETH/AMP,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,AMP,18,0xff20817765cb7f73d4bde2e66e067e58d11095c2
Balancer Pool Token,0x9dde0b1d39d0d2c6589cde1bfed3542d2a3c5b11,BAL/WETH,BAL,18,0xba100000625a3754423978a60c9317c58a424e3d,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
Uniswap V2,0xf49c43ae0faf37217bdcb00df478cf793edd6687,WETH/KNC,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,KNC,18,0xdd974d5c2e2928dea5f71b9825b8b646686bd200
UniswapV3 LP,0x6ad1a683e09843c32d0092400613d6a590f3a949,WETH/rUSD,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,rUSD,18,0xf9a2d7e60a3297e513317ad1d7ce101cc4c6c8f6
Safeswap LPs:SHINJA/WETH,0x27acdc7b04da377128f603893a4cb8b820415b32,SHINJA/WETH,SHINJA,9,0xab167e816e4d76089119900e941befdfa37d6b32,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
Uniswap V2,0x63b61e73d3fa1fb96d51ce457cabe89fffa7a1f1,SHINJA/WETH,SHINJA,9,0xab167e816e4d76089119900e941befdfa37d6b32,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
Uniswap V2,0xc05371628f77cd274d111ec9621b5d85f5945da2,Ly/WETH,Ly,9,0x8686525d6627a25c68de82c228448f43c97999f2,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
UniswapV3 LP,0xf1b63cd9d80f922514c04b0fd0a30373316dd75b,OHM/WETH,OHM,9,0x383518188c0c6d7730d91b2c03a03c837814a899,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
Balancer Pool Token,0xc351648240e9fc9213e8b6016e566f95c5fa7909,WETH/REPv2,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,REPv2,18,0x221657776846890989a759ba2973e427dff5c9bb
ShibaSwap LP Token,0x7a019e9f33af312b5e5c6b065fbc733ccaa09f39,UFO/WETH,UFO,18,0x249e38ea4102d0cf8264d3701f1a0e39c4f2dc3b,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
KyberDMM LP SIPHER-WETH,0x9a56f30ff04884cb06da80cb3aef09c6132f5e77,SIPHER/WETH,SIPHER,18,0x9f52c8ecbee10e00d9faaac5ee9ba0ff6550f511,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
Uniswap V2,0xf3fdcfbfdb96315fc628854627bdd5e363b3ade4,SIPHER/WETH,SIPHER,18,0x9f52c8ecbee10e00d9faaac5ee9ba0ff6550f511,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
Uniswap V2,0xe94272661fd46362e5dd247221e0fc018a298d09,STND/WETH,STND,18,0x9040e237c3bf18347bb00957dc22167d0f2b999d,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
Uniswap V2,0x6d57a53a45343187905aad6ad8ed532d105697c1,RLC/WETH,RLC,9,0x607f4c5bb672230e8672085532f7e901544a7375,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
UniswapV3 LP,0x76838fd2f22bdc1d3e96069971e65653173edb2a,WETH/KNC,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,KNC,18,0xdd974d5c2e2928dea5f71b9825b8b646686bd200
Uniswap V2,0x4f9fcdae3950a033074b93e269b6c382109fae71,DRGN/WETH,DRGN,18,0x419c4db4b9e25d6db2ad9691ccb832c8d9fda05e,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
UniswapV3 LP,0x84ae4aa9581e6b7f50f660c5b6970aef1ed82be8,PPAY/WETH,PPAY,18,0x054d64b73d3d8a21af3d764efd76bcaa774f3bb2,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
Uniswap V2,0xe6c804ff4ec692e6808c0d032cdbc03772fc4d42,renZEC/WETH,renZEC,8,0x1c5db575e2ff833e46a2e9864c22f4b22e0b37c2,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
UniswapV3 LP,0x95aaee48c5a7f949372c80af8baaf4834bda67e3,renZEC/WETH,renZEC,8,0x1c5db575e2ff833e46a2e9864c22f4b22e0b37c2,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
SummaSwap LP Token:WETH/USDT,0x498e9f240158c11e822c983938d1a093a81e0e3c,WETH/USDT,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,USDT,6,0xdac17f958d2ee523a2206206994597c13d831ec7
UniswapV3 LP,0x691c9c0b050c2c3d46dad37b1b4c3666f13ecfce,JPYC/WETH,JPYC,18,0x2370f9d504c7a6e775bf6e14b3f12846b594cd53,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
Uniswap V2,0xd3772a963790fede65646cfdae08734a17cd0f47,ADX/WETH,ADX,18,0xade00c28244d5ce17d72e40330b1c318cd12b7c3,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2
Uniswap V2,0xc2f02caa6bcac59944912a1446365c4d9c16cc97,WETH/MTO,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,MTO,18,0xe66b3aa360bb78468c00bebe163630269db3324f
Balancer Pool Token,0x05f661a1bd2da5e59c8e06b92acdcde2706110e5,WETH/PTF,WETH,18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,PTF,18,0xc57d533c50bc22247d49a368880fb49a1caa39f7
